jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD
United States,8/6/2016,49510,737,11257,1475,1892,752,2617,648,842,643,11277,2500
United States,8/13/2016,49747,655,11462,1406,2059,777,2594,677,881,603,11302,2616
United States,8/20/2016,49816,753,11512,1363,2032,722,2632,651,871,624,11372,2434
United States,8/27/2016,49519,689,11364,1399,2084,725,2566,668,926,636,11061,2560
United States,9/3/2016,49591,724,11469,1423,2031,777,2562,613,890,653,11014,2666
United States,9/10/2016,50084,761,11375,1465,2113,760,2520,674,839,617,11427,2463
United States,9/17/2016,49926,728,11298,1447,2155,814,2572,713,896,634,11130,2539
United States,9/24/2016,49892,741,11298,1449,2106,766,2572,707,852,613,11258,2668
United States,10/1/2016,50267,704,11422,1428,2184,725,2721,682,904,654,11336,2573
United States,10/8/2016,51414,733,11567,1494,2171,779,2554,741,933,682,11673,2632
United States,10/15/2016,52144,731,11540,1533,2308,831,2790,754,981,699,11946,2664
United States,10/22/2016,51462,726,11471,1490,2130,848,2737,733,929,626,11841,2680
United States,10/29/2016,51879,787,11402,1483,2286,820,2725,744,973,675,11909,2688
United States,11/5/2016,51768,724,11354,1493,2295,827,2702,748,933,621,11901,2809
United States,11/12/2016,52546,777,11498,1602,2233,891,2786,739,942,671,12104,2821
United States,11/19/2016,53464,774,11749,1528,2404,869,2884,742,963,704,12302,2840
United States,11/26/2016,53171,756,11320,1613,2299,883,2951,758,971,703,12457,2759
United States,12/3/2016,54611,830,11523,1608,2447,917,3033,780,973,763,12655,2934
United States,12/10/2016,55173,771,11500,1672,2485,1052,3049,807,981,796,12883,2981
United States,12/17/2016,56024,869,11827,1588,2483,1077,3088,804,1000,734,13302,2928
United States,12/24/2016,56757,818,11639,1776,2606,1121,3270,801,1058,782,13267,3111
United States,12/31/2016,57658,906,11490,1732,2671,1318,3457,868,1035,827,13689,3064
United States,1/7/2017,59764,915,11643,1836,2710,1540,3758,897,1104,640,14061,3180
United States,1/14/2017,60982,954,12102,1902,2769,1599,3870,962,1120,618,14232,3103
United States,1/21/2017,59294,876,11882,1675,2787,1612,3728,957,1062,652,13950,3061
United States,1/28/2017,58051,910,11488,1769,2583,1528,3678,895,1101,623,13649,2981
United States,2/4/2017,58437,947,11689,1693,2693,1611,3612,881,1074,598,13713,2987
United States,2/11/2017,59043,870,11908,1836,2532,1620,3668,901,1071,670,13763,2986
United States,2/18/2017,58482,890,11571,1778,2584,1682,3822,870,1072,640,13893,3025
United States,2/25/2017,58290,880,11597,1710,2566,1709,3862,926,1074,660,13629,2997
United States,3/4/2017,57257,897,11115,1717,2518,1632,3631,846,1049,618,13390,3040
United States,3/11/2017,57480,840,11546,1734,2566,1565,3608,886,1055,652,13281,2954
United States,3/18/2017,56658,863,11424,1731,2506,1451,3577,890,1069,645,13461,2846
United States,3/25/2017,57048,861,11570,1696,2562,1393,3563,878,1019,635,13117,2924
United States,4/1/2017,55706,809,11601,1643,2473,1312,3465,902,1035,678,12754,2862
United States,4/8/2017,55161,855,11385,1612,2374,1234,3471,885,1014,645,12688,2802
United States,4/15/2017,54863,829,11624,1621,2331,1193,3308,853,1041,566,12402,2918
United States,4/22/2017,53071,816,11358,1462,2318,1059,3097,855,958,617,12088,2796
United States,4/29/2017,53297,775,11451,1575,2251,992,3116,820,987,615,12428,2709
United States,5/6/2017,52658,722,11300,1629,2170,973,3120,755,989,593,12007,2708
United States,5/13/2017,51987,754,11285,1559,2153,898,3057,764,1024,573,11955,2728
United States,5/20/2017,52481,708,11408,1428,2114,874,3042,777,899,615,12200,2778
United States,5/27/2017,50976,726,11088,1455,2120,812,2997,755,931,574,11707,2644
United States,6/3/2017,51257,719,11187,1476,2167,842,2844,744,912,573,11780,2703
United States,6/10/2017,51424,723,11241,1479,2098,848,2870,716,853,584,11848,2644
United States,6/17/2017,50799,740,11127,1524,2084,795,2848,715,863,560,11748,2550
United States,6/24/2017,51195,695,11491,1485,2137,783,2866,757,910,587,11504,2615
United States,7/1/2017,50618,708,11359,1484,2009,789,2762,736,895,626,11613,2548
United States,7/8/2017,50961,692,11512,1473,2028,776,2687,704,859,559,11572,2507
United States,7/15/2017,49975,708,11326,1428,2053,810,2621,721,842,530,11387,2613
United States,7/22/2017,50132,672,11422,1467,2044,708,2580,714,839,607,11307,2590
United States,7/29/2017,49364,663,11292,1435,2005,756,2517,691,810,582,11079,2533
United States,8/5/2017,50091,675,11172,1433,2091,700,2672,712,919,591,11351,2660
United States,8/12/2017,50238,658,11463,1427,2137,724,2535,746,873,548,11275,2670
United States,8/19/2017,50188,701,11431,1537,2088,703,2503,733,860,575,11299,2514
United States,8/26/2017,49517,714,11254,1365,2031,729,2516,687,851,608,11171,2636
United States,9/2/2017,50832,721,11615,1502,2166,719,2530,690,873,554,11461,2717
United States,9/9/2017,50983,761,11273,1525,2107,797,2525,719,956,630,11580,2698
United States,9/16/2017,51696,724,11394,1535,2249,796,2698,754,942,649,11709,2685
United States,9/23/2017,51230,715,11430,1535,2172,734,2662,726,913,639,11534,2647
United States,9/30/2017,51344,754,11495,1520,2221,797,2649,768,869,633,11459,2606
United States,10/7/2017,52112,700,11636,1515,2241,793,2749,759,903,635,11774,2742
United States,10/14/2017,51582,731,11534,1416,2185,813,2677,759,903,631,11631,2722
United States,10/21/2017,52234,740,11607,1658,2291,826,2732,687,921,623,11883,2779
United States,10/28/2017,52551,774,11500,1541,2318,841,2791,762,909,657,11988,2813
United States,11/4/2017,53680,736,11601,1603,2357,841,2798,823,981,680,12184,2732
United States,11/11/2017,53261,781,11560,1616,2328,886,2793,777,1028,637,12088,2817
United States,11/18/2017,53775,791,11445,1635,2328,908,2757,803,977,657,12411,2890
United States,11/25/2017,54122,781,11606,1711,2360,902,2893,737,981,671,12609,2890
United States,12/2/2017,54762,843,11410,1650,2362,1006,3020,822,1004,695,12652,2967
United States,12/9/2017,55597,825,11566,1701,2424,1048,3122,836,1000,724,12856,2918
United States,12/16/2017,57376,798,11736,1799,2661,1211,3204,798,1012,721,13438,3176
United States,12/23/2017,59506,894,12042,1761,2825,1392,3426,871,1103,787,13950,3138
United States,12/30/2017,61093,944,11689,1989,2729,1813,3708,911,1159,761,14766,3152
United States,1/6/2018,66142,1066,11920,2110,2958,2509,4207,1086,1219,745,16020,3359
United States,1/13/2018,67501,1044,12408,2036,3212,2886,4373,1050,1237,749,15937,3362
United States,1/20/2018,64650,1040,11871,1955,3103,2930,4193,1027,1222,715,14900,3364
United States,1/27/2018,62784,960,11812,1779,2959,2695,4004,1030,1191,658,14336,3286
United States,2/3/2018,60980,979,11499,1851,2832,2495,3742,1016,1165,679,13902,3089
United States,2/10/2018,61115,917,11912,1849,2695,2308,3856,931,1096,645,14182,3151
United States,2/17/2018,59784,885,11717,1762,2743,2234,3723,954,1113,657,13781,3070
United States,2/24/2018,57798,904,11515,1664,2613,1987,3442,1022,1082,619,13277,2935
United States,3/3/2018,56697,890,11358,1710,2356,1688,3352,920,1028,604,13347,3018
United States,3/10/2018,57097,825,11640,1711,2413,1464,3444,915,1020,665,13392,2910
United States,3/17/2018,56331,843,11371,1686,2484,1414,3401,885,1034,620,13174,2875
United States,3/24/2018,55771,799,11489,1660,2476,1260,3362,903,997,577,13095,2946
United States,3/31/2018,54919,827,11157,1622,2432,1278,3342,893,1039,539,12837,2873
United States,4/7/2018,55296,745,11385,1704,2393,1283,3263,876,984,609,12859,2925
United States,4/14/2018,55228,806,11505,1637,2273,1096,3349,850,1006,596,13013,2973
United States,4/21/2018,54040,756,11260,1636,2327,1055,3180,902,996,584,12493,2779
United States,4/28/2018,53729,763,11439,1571,2275,957,3212,846,993,607,12412,2847
United States,5/5/2018,53742,722,11548,1614,2226,945,3102,832,920,595,12512,2786
United States,5/12/2018,52109,693,11071,1579,2147,788,3037,871,896,553,12174,2576
United States,5/19/2018,50621,680,10995,1501,2115,781,2919,799,903,544,11741,2654
United States,5/26/2018,50932,682,11268,1506,2031,760,2936,776,944,542,11910,2697
United States,6/2/2018,51046,711,11130,1565,2017,753,2911,787,909,590,11775,2632
United States,6/9/2018,52003,683,11300,1519,2079,760,2889,778,909,627,12004,2673
United States,6/16/2018,51389,678,11215,1499,2096,779,2886,789,916,560,11777,2688
United States,6/23/2018,51046,723,11320,1510,2078,737,2847,769,911,596,11659,2727
United States,6/30/2018,50858,661,11276,1477,2084,779,2750,746,917,578,11660,2612
United States,7/7/2018,51686,710,11397,1541,1978,757,2756,801,924,624,11838,2675
United States,7/14/2018,51195,717,11142,1530,2034,689,2690,793,917,577,11788,2661
United States,7/21/2018,50612,747,11175,1480,2087,680,2606,769,919,578,11524,2603
United States,7/28/2018,50276,677,11384,1451,2077,734,2577,767,853,588,11437,2553
United States,8/4/2018,50640,731,11361,1446,2086,677,2566,721,905,603,11465,2687
United States,8/11/2018,50970,700,11444,1530,2112,720,2407,726,893,608,11528,2542
United States,8/18/2018,50305,722,11289,1465,2075,625,2730,740,866,639,11430,2692
United States,8/25/2018,50460,704,11550,1476,2058,677,2592,740,957,597,11270,2587
United States,9/1/2018,50612,704,11341,1490,2177,685,2498,687,925,556,11474,2675
United States,9/8/2018,50301,711,11220,1476,2075,692,2579,722,884,608,11211,2590
United States,9/15/2018,51084,720,11462,1511,2172,722,2582,747,934,591,11433,2566
United States,9/22/2018,51584,727,11635,1567,2234,723,2637,802,867,565,11625,2645
United States,9/29/2018,50960,741,11403,1477,2140,732,2550,766,942,597,11563,2707
United States,10/6/2018,52361,719,11637,1574,2202,828,2666,792,917,628,11741,2717
United States,10/13/2018,51851,744,11592,1579,2199,733,2629,753,864,624,11767,2774
United States,10/20/2018,52982,785,11622,1520,2245,773,2835,832,893,588,12148,2818
United States,10/27/2018,53764,761,11769,1655,2411,789,2715,817,958,670,12173,2870
United States,11/3/2018,53644,749,11685,1628,2380,768,2721,766,957,660,12386,2798
United States,11/10/2018,53561,753,11657,1623,2371,803,2805,830,945,665,12186,2888
United States,11/17/2018,54703,758,11694,1648,2415,880,2931,786,986,612,12685,2903
United States,11/24/2018,54852,733,11717,1700,2527,849,2848,759,1032,657,12813,2947
United States,12/1/2018,55064,763,11388,1719,2384,904,3022,825,1069,739,13229,2928
United States,12/8/2018,55970,808,11694,1759,2469,958,3016,881,1052,707,13048,2942
United States,12/15/2018,56394,821,11895,1658,2504,969,3091,859,1079,691,13098,3054
United States,12/22/2018,56532,850,11729,1748,2500,999,3137,911,1043,731,13363,2957
United States,12/29/2018,56030,797,11423,1708,2408,1084,3248,876,1033,701,13318,2915
United States,1/5/2019,58305,787,11634,1939,2411,1264,3455,907,1087,665,13843,2884
United States,1/12/2019,58363,817,11864,1757,2450,1316,3611,934,1033,600,13600,3084
United States,1/19/2019,58220,806,11853,1824,2607,1329,3385,955,1107,596,13596,3108
United States,1/26/2019,57910,829,11709,1919,2446,1239,3442,917,1053,647,13718,2981
United States,2/2/2019,58153,789,11731,1897,2520,1308,3387,922,1074,599,13741,3100
United States,2/9/2019,58525,820,11693,1819,2579,1335,3510,946,1040,624,13634,2983
United States,2/16/2019,58004,815,11671,1899,2557,1405,3420,923,1089,632,13714,2996
United States,2/23/2019,58009,824,11748,1821,2516,1406,3496,936,1092,593,13532,3056
United States,3/2/2019,57975,802,11531,1890,2372,1429,3429,862,1018,612,13886,3002
United States,3/9/2019,58547,799,11828,1807,2460,1474,3437,938,1043,632,13792,3112
United States,3/16/2019,57921,820,11736,1744,2467,1485,3478,941,1108,622,13542,3065
United States,3/23/2019,57100,776,11510,1815,2390,1418,3380,929,1076,568,13405,2977
United States,3/30/2019,56680,833,11437,1786,2457,1317,3400,917,996,620,13248,3041
United States,4/6/2019,56602,775,11458,1737,2439,1223,3338,829,1020,609,13223,2989
United States,4/13/2019,55496,776,11306,1759,2245,1114,3340,898,997,629,12768,2965
United States,4/20/2019,54472,768,11237,1657,2282,1034,3221,845,1010,586,12940,2848
United States,4/27/2019,53661,732,11187,1710,2246,1006,3088,869,976,572,12561,2811
United States,5/4/2019,53991,729,11334,1665,2210,939,3012,878,996,566,12515,2913
United States,5/11/2019,53482,728,11347,1677,2151,866,3117,829,954,580,12348,2777
United States,5/18/2019,53579,680,11513,1644,2208,834,2978,812,963,625,12494,2761
United States,5/25/2019,53697,673,11634,1634,2202,803,3051,789,901,610,12463,2707
United States,6/1/2019,52728,681,11283,1508,2226,813,2977,818,967,516,12183,2736
United States,6/8/2019,53142,683,11205,1684,2245,805,2974,799,926,586,12136,2721
United States,6/15/2019,52648,677,11471,1624,2228,757,2908,832,988,585,12045,2588
United States,6/22/2019,52292,656,11329,1566,2143,756,2800,775,984,559,11982,2772
United States,6/29/2019,52212,682,11420,1553,2110,767,2800,782,900,619,12036,2683
United States,7/6/2019,52344,692,11183,1583,2154,728,2765,771,863,607,12140,2694
United States,7/13/2019,51936,693,11361,1529,2122,685,2796,732,991,601,11844,2685
United States,7/20/2019,51653,656,11290,1632,2097,687,2701,746,930,613,11658,2644
United States,7/27/2019,51663,693,11377,1534,2147,697,2609,788,927,573,11730,2647
United States,8/3/2019,51412,681,11422,1506,2148,723,2590,810,892,587,11812,2649
United States,8/10/2019,51749,632,11336,1558,2121,689,2608,788,909,646,11610,2646
United States,8/17/2019,51026,631,11345,1494,2066,672,2543,757,929,598,11577,2691
United States,8/24/2019,51024,651,11429,1483,2160,645,2617,695,869,562,11474,2672
United States,8/31/2019,51164,675,11413,1454,2131,689,2520,724,844,592,11567,2725
United States,9/7/2019,51838,658,11384,1438,2178,677,2569,768,924,624,11682,2636
United States,9/14/2019,51636,713,11409,1545,2174,637,2659,727,853,569,11702,2801
United States,9/21/2019,51760,640,11276,1541,2193,691,2601,802,926,585,11707,2664
United States,9/28/2019,52762,750,11676,1599,2181,705,2667,800,943,651,11765,2835
United States,10/5/2019,52564,670,11446,1589,2305,659,2626,857,954,627,11739,2773
United States,10/12/2019,53092,750,11631,1534,2306,720,2654,804,945,646,11888,2813
United States,10/19/2019,54342,723,11686,1622,2347,769,2757,831,971,649,12503,2861
United States,10/26/2019,54052,726,11644,1617,2405,758,2698,810,992,618,12380,2954
United States,11/2/2019,54087,723,11591,1660,2322,781,2823,841,969,623,12075,2939
United States,11/9/2019,55707,782,11807,1689,2442,807,2716,876,1059,684,12643,2956
United States,11/16/2019,55893,740,11636,1727,2497,864,2826,849,1036,664,12892,2982
United States,11/23/2019,56200,726,11641,1707,2494,805,2935,886,1025,679,12945,3180
United States,11/30/2019,55471,713,11316,1731,2541,823,2882,901,1028,674,12953,3006
United States,12/7/2019,57308,814,11448,1840,2576,988,3118,840,1034,661,13528,3079
United States,12/14/2019,57665,798,11571,1786,2656,1013,3132,898,1073,715,13143,3098
United States,12/21/2019,57429,757,11633,1782,2594,1047,3259,909,1062,780,13214,3178
United States,12/28/2019,58466,863,11472,1892,2576,1115,3346,951,1058,795,13784,3082
Alabama,1/4/2014,1057,26,196,29,38,38,66,17,21,25,264,51
Alabama,1/11/2014,1077,30,203,25,46,37,81,18,23,35,250,49
Alabama,1/18/2014,1048,21,210,34,31,34,77,19,24,19,243,60
Alabama,1/25/2014,1022,25,205,23,25,42,74,16,22,35,249,53
Alabama,2/1/2014,1041,18,200,26,38,26,69,15,18,24,269,50
Alabama,2/8/2014,992,24,180,25,31,31,71,19,21,24,235,45
Alabama,2/15/2014,941,26,191,19,23,27,72,17,13,26,221,50
Alabama,2/22/2014,990,15,232,28,37,21,53,14,20,25,242,57
Alabama,3/1/2014,959,16,202,28,29,28,60,19,19,28,219,48
Alabama,3/8/2014,989,18,184,27,25,20,45,21,18,27,253,59
Alabama,3/15/2014,976,20,201,25,37,16,60,24,17,34,242,51
Alabama,3/22/2014,937,23,176,24,34,17,46,,15,17,241,47
Alabama,3/29/2014,927,27,214,25,34,,64,13,22,17,228,46
Alabama,4/5/2014,951,24,194,17,31,11,64,16,21,20,210,38
Alabama,4/12/2014,924,15,185,31,29,16,47,17,11,24,239,63
Alabama,4/19/2014,986,19,215,28,40,15,47,14,20,16,237,56
Alabama,4/26/2014,914,11,187,23,24,18,61,15,28,19,236,44
Alabama,5/3/2014,939,19,199,34,23,15,50,12,14,13,233,59
Alabama,5/10/2014,918,23,176,25,44,20,53,11,22,21,236,35
Alabama,5/17/2014,931,19,192,19,43,18,49,14,27,26,227,61
Alabama,5/24/2014,899,25,172,21,26,,63,10,18,15,223,65
