jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD
United States,9/5/2020,59756,704,11317,1806,2492,731,2531,795,920,1105,12329,2846,4363
United States,9/12/2020,59050,693,11378,1865,2315,680,2546,744,920,1201,12159,3024,3986
United States,9/19/2020,58921,744,11526,1824,2346,701,2496,777,916,1208,12475,2912,3644
United States,9/26/2020,59489,744,11691,1796,2455,720,2624,780,911,1243,12406,3018,3648
United States,10/3/2020,58196,708,11153,1832,2363,745,2509,697,925,1426,12225,2795,3531
United States,10/10/2020,59599,739,11452,1816,2447,689,2509,781,921,1489,12302,2996,4056
United States,10/17/2020,58011,740,10882,1745,2451,697,2470,786,979,1567,11922,2889,4344
United States,10/24/2020,59425,694,11210,1712,2486,738,2557,757,893,1734,12132,2926,5027
United States,10/31/2020,60460,668,11047,1816,2366,762,2455,782,888,1822,12370,2976,5847
United States,11/7/2020,64067,724,11297,1838,2552,762,2743,764,959,2222,12729,2996,7362
United States,11/14/2020,65307,749,11214,1871,2630,802,2602,813,962,2236,12602,3011,9008
United States,11/21/2020,67327,756,11003,1945,2555,795,2664,821,970,2490,12521,2988,11381
United States,11/28/2020,68275,716,10733,1942,2626,764,2539,793,964,2668,12290,2939,13120
United States,12/5/2020,70979,759,10592,1928,2674,854,2638,841,952,2844,12814,3058,15227
United States,12/12/2020,72174,719,10849,1953,2737,857,2714,881,989,3167,12582,3160,15881
United States,12/19/2020,66267,669,10201,1789,2703,797,2441,762,849,3203,11915,2929,14071
United States,12/26/2020,53334,592,8642,1470,2303,682,2125,672,814,3161,10353,2477,8461
United States,1/2/2021,44827,498,7451,1292,2098,642,1940,584,681,2978,9172,2163,5555
United States,1/9/2021,36487,418,6070,1063,1728,536,1548,496,583,2398,7356,1752,4633
Alabama,1/4/2020,1081,15,196,25,54,28,86,13,25,25,268,81,0
Alabama,1/11/2020,1127,25,197,17,41,27,72,20,23,34,274,68,0
Alabama,1/18/2020,1039,28,201,24,53,31,73,21,23,24,239,45,0
Alabama,1/25/2020,1055,16,189,23,54,29,61,11,14,24,286,70,0
Alabama,2/1/2020,1026,15,157,16,58,31,76,17,20,24,265,55,0
Alabama,2/8/2020,1119,26,191,24,45,28,70,20,24,29,303,52,0
Alabama,2/15/2020,1094,17,193,24,50,35,74,23,18,27,254,81,0
Alabama,2/22/2020,1097,17,222,29,47,25,65,12,12,15,285,74,0
Alabama,2/29/2020,1162,21,212,28,62,31,88,20,21,25,294,60,0
Alabama,3/7/2020,1054,18,144,25,65,34,60,24,23,21,265,57,0
Alabama,3/14/2020,1091,16,199,31,65,30,75,28,27,20,265,69,0
Alabama,3/21/2020,1058,17,227,25,46,26,67,24,22,16,263,71,
Alabama,3/28/2020,1073,15,188,23,67,26,75,23,15,23,244,69,20
Alabama,4/4/2020,1156,27,202,34,74,23,67,24,22,26,257,68,45
Alabama,4/11/2020,1134,25,166,31,63,18,62,20,17,28,265,64,77
Alabama,4/18/2020,1144,20,183,35,62,18,69,21,17,18,248,62,83
Alabama,4/25/2020,1138,20,200,28,55,25,53,12,17,14,265,63,77
Alabama,5/2/2020,1147,17,197,22,57,26,67,19,24,11,272,62,75
Alabama,5/9/2020,1168,17,201,28,45,12,58,18,15,22,304,52,105
Alabama,5/16/2020,1147,19,203,28,47,15,71,17,22,23,259,49,88
Alabama,5/23/2020,1151,22,194,22,62,18,53,16,21,25,280,54,76
Alabama,5/30/2020,1106,23,161,29,53,21,51,14,15,24,242,47,99
Alabama,6/6/2020,1169,26,212,20,48,17,62,19,15,16,290,55,85
Alabama,6/13/2020,1134,14,176,23,53,11,65,17,24,19,279,58,75
Alabama,6/20/2020,1087,29,197,22,48,12,62,16,17,29,255,54,81
Alabama,6/27/2020,1148,12,222,23,60,16,55,15,17,22,266,67,93
Alabama,7/4/2020,1196,14,221,30,59,13,60,,18,24,297,49,115
Alabama,7/11/2020,1258,17,217,30,63,12,63,14,19,26,301,72,121
Alabama,7/18/2020,1289,23,203,24,68,22,71,17,19,27,275,66,171
Alabama,7/25/2020,1326,21,212,28,66,16,69,10,20,24,285,78,235
Alabama,8/1/2020,1359,15,198,23,56,25,74,21,20,17,312,70,236
Alabama,8/8/2020,1369,15,177,29,40,20,75,14,17,32,288,70,250
Alabama,8/15/2020,1299,,165,26,60,20,67,21,15,29,291,73,214
Alabama,8/22/2020,1293,16,193,22,55,17,58,13,21,30,290,76,195
Alabama,8/29/2020,1214,19,192,23,55,17,62,18,20,27,249,56,173
Alabama,9/5/2020,1206,22,211,22,61,14,65,12,15,14,255,60,140
Alabama,9/12/2020,1230,17,198,27,66,13,59,18,23,27,295,49,129
Alabama,9/19/2020,1188,18,226,20,57,17,68,22,20,16,251,61,133
Alabama,9/26/2020,1178,21,204,32,66,21,61,13,15,32,260,58,99
Alabama,10/3/2020,1092,14,181,27,47,20,55,11,20,13,257,46,97
Alabama,10/10/2020,1190,15,188,27,58,18,61,21,21,32,297,62,125
Alabama,10/17/2020,1174,20,196,26,59,12,59,19,21,27,255,69,111
Alabama,10/24/2020,1128,17,200,15,56,20,54,15,18,23,273,46,110
Alabama,10/31/2020,1145,21,186,21,62,23,46,22,12,33,270,59,117
Alabama,11/7/2020,1242,14,214,27,54,14,53,18,22,38,281,64,138
Alabama,11/14/2020,1238,17,205,24,63,13,60,19,23,36,280,58,159
Alabama,11/21/2020,1229,10,192,26,69,18,57,13,27,37,257,58,145
Alabama,11/28/2020,1265,24,199,23,56,16,61,14,27,38,278,53,178
Alabama,12/5/2020,1257,29,165,29,60,14,65,29,13,37,275,62,221
Alabama,12/12/2020,1458,19,212,41,79,21,53,20,24,31,276,68,315
Alabama,12/19/2020,1274,12,167,19,64,27,64,12,21,41,255,61,265
Alabama,12/26/2020,1107,18,143,37,61,14,56,17,21,28,250,46,204
Alabama,1/2/2021,1025,18,119,20,66,13,53,19,17,33,222,55,166
Alabama,1/9/2021,721,12,120,13,36,14,50,12,,20,154,28,109
Alaska,1/4/2020,89,,16,,,0,,0,,0,17,,0
Alaska,1/11/2020,105,,22,,,0,,,,0,24,,0
Alaska,1/18/2020,99,,21,,,0,,,,0,15,,0
Alaska,1/25/2020,97,,21,,,0,,0,,,18,,0
Alaska,2/1/2020,85,,17,,,,,,0,,20,,0
Alaska,2/8/2020,92,0,15,,,,,,,,22,,0
Alaska,2/15/2020,89,,20,,,0,,,,0,19,,0
Alaska,2/22/2020,83,,16,,,,,,0,,,,0
Alaska,2/29/2020,84,,18,,0,,,,,,14,,0
Alaska,3/7/2020,79,,20,0,,,,,,0,15,,0
Alaska,3/14/2020,92,,20,,0,,,,0,,22,,0
Alaska,3/21/2020,69,0,,,,,,,,,10,,0
Alaska,3/28/2020,85,,16,,,,,,,0,15,,
Alaska,4/4/2020,98,,21,,,,,,0,0,14,,
Alaska,4/11/2020,84,,15,,,,,,,,20,,
Alaska,4/18/2020,80,0,17,,,,,0,,0,13,,
Alaska,4/25/2020,61,,12,0,,,,,,0,12,0,0
Alaska,5/2/2020,87,,17,,,,,,0,,18,,0
Alaska,5/9/2020,89,,20,,,,,,0,0,13,,0
Alaska,5/16/2020,83,0,18,,0,,,0,,,20,,0
Alaska,5/23/2020,82,0,19,,,0,,0,0,0,17,,0
Alaska,5/30/2020,97,,23,,,0,,0,,,18,,0
Alaska,6/6/2020,78,0,15,,,,,,0,,19,,0
Alaska,6/13/2020,88,,19,,,,,,0,0,16,,
Alaska,6/20/2020,92,0,28,0,,,,0,,,15,,0
Alaska,6/27/2020,88,0,16,,,,,,0,,14,,0
Alaska,7/4/2020,84,,16,,,0,,0,,,17,,
Alaska,7/11/2020,100,,20,,,0,,0,,,18,,
Alaska,7/18/2020,88,0,20,,,0,,0,,,12,,
Alaska,7/25/2020,92,0,20,,,,,0,,,18,,
Alaska,8/1/2020,112,0,17,,,0,,,,,17,,
Alaska,8/8/2020,101,,15,,,0,,0,,,20,,
Alaska,8/15/2020,74,0,15,,,0,,0,,,17,,
Alaska,8/22/2020,114,,24,,,,,0,0,,28,,
Alaska,8/29/2020,93,,23,,,0,,0,0,,11,,
Alaska,9/5/2020,104,,20,,,,,,0,0,18,,
Alaska,9/12/2020,87,,22,,,0,,0,,,12,,
Alaska,9/19/2020,103,,16,,,0,,,,,10,11,
Alaska,9/26/2020,112,,18,,,0,,,,,18,,
Alaska,10/3/2020,74,0,,,,0,,,0,,18,,
Alaska,10/10/2020,111,,20,,,,,,,,25,,
Alaska,10/17/2020,99,,25,,,0,,,,0,14,,
Alaska,10/24/2020,100,0,17,,,,,0,,,27,,
Alaska,10/31/2020,104,0,30,,,,,0,,,12,,
Alaska,11/7/2020,99,0,21,,,0,,0,,0,18,,
Alaska,11/14/2020,96,0,20,,,,,0,,,17,,13
Alaska,11/21/2020,106,0,21,,,0,,0,,,17,,12
Alaska,11/28/2020,101,,18,,,0,,0,0,,16,,16
Alaska,12/5/2020,84,,14,,,,,0,,0,,,19
Alaska,12/12/2020,89,0,19,,,,,0,0,,17,,15
Alaska,12/19/2020,56,,16,,,,0,0,,0,,,
Alaska,12/26/2020,42,,,0,,0,0,,,0,,,
Alaska,1/2/2021,35,,10,,,0,,0,0,,,,
Alaska,1/9/2021,27,0,,,,,,,0,0,,,
Arizona,1/4/2020,1301,,247,46,66,30,90,17,11,19,314,55,0
Arizona,1/11/2020,1390,,276,58,67,26,86,19,19,24,298,64,0
Arizona,1/18/2020,1315,,264,46,65,32,74,30,20,16,275,66,0
Arizona,1/25/2020,1275,10,241,54,58,36,76,25,20,23,282,58,0
Arizona,2/1/2020,1265,,265,48,55,34,75,19,17,20,287,64,0
Arizona,2/8/2020,1264,,239,52,66,31,78,17,12,25,279,63,0
Arizona,2/15/2020,1312,,247,53,66,32,88,18,10,22,297,71,0
Arizona,2/22/2020,1342,,261,36,59,31,83,16,17,23,289,65,0
Arizona,2/29/2020,1352,,256,53,64,33,84,27,14,27,272,71,0
Arizona,3/7/2020,1380,12,256,44,67,29,78,30,16,29,311,73,0
Arizona,3/14/2020,1349,,255,46,63,32,102,27,17,28,295,71,0
Arizona,3/21/2020,1290,,262,44,63,37,79,30,13,25,256,64,
Arizona,3/28/2020,1324,,263,52,66,37,81,20,20,20,276,61,29
Arizona,4/4/2020,1356,,258,39,66,25,78,26,15,27,255,55,55
Arizona,4/11/2020,1403,12,243,56,57,26,84,28,17,20,254,69,88
Arizona,4/18/2020,1316,10,255,38,69,22,74,13,21,15,247,48,87
Arizona,4/25/2020,1384,,266,39,76,18,64,25,14,23,282,63,99
Arizona,5/2/2020,1398,,240,57,56,24,74,13,17,21,317,73,94
Arizona,5/9/2020,1427,10,252,47,60,16,77,21,11,38,282,60,122
Arizona,5/16/2020,1306,,233,40,65,17,65,23,21,25,225,52,110
Arizona,5/23/2020,1289,10,238,53,79,15,58,22,12,15,233,67,88
Arizona,5/30/2020,1310,,244,46,44,17,74,22,19,24,247,61,99
Arizona,6/6/2020,1399,,253,39,63,16,62,14,12,17,268,60,127
Arizona,6/13/2020,1463,10,247,47,67,13,72,26,12,22,280,55,153
Arizona,6/20/2020,1550,14,263,56,70,12,82,30,13,27,259,64,193
Arizona,6/27/2020,1616,12,260,46,70,16,68,28,24,36,287,60,236
Arizona,7/4/2020,1773,,247,57,77,23,70,27,13,37,289,66,354
Arizona,7/11/2020,1952,12,251,66,76,34,81,39,13,51,310,62,476
Arizona,7/18/2020,1993,,236,48,78,29,69,28,17,39,315,58,508
Arizona,7/25/2020,1861,,263,52,85,17,61,21,11,42,290,58,446
Arizona,8/1/2020,1792,13,246,56,63,31,74,21,13,32,279,65,359
Arizona,8/8/2020,1585,,239,44,51,17,65,14,20,29,267,62,279
Arizona,8/15/2020,1526,,241,56,61,20,55,21,11,39,239,55,232
Arizona,8/22/2020,1504,,259,49,62,14,74,19,,28,272,59,154
Arizona,8/29/2020,1465,,267,69,64,12,60,21,14,38,263,72,113
Arizona,9/5/2020,1293,,227,43,54,12,52,20,20,32,270,40,78
Arizona,9/12/2020,1280,10,243,42,44,14,54,26,15,29,256,59,56
Arizona,9/19/2020,1258,,237,43,54,14,57,,13,27,268,62,55
Arizona,9/26/2020,1283,11,240,51,60,11,64,16,10,26,236,63,44
Arizona,10/3/2020,1201,,213,28,48,18,61,10,15,36,265,56,29
Arizona,10/10/2020,1238,,230,45,60,,57,23,18,22,221,56,46
Arizona,10/17/2020,1233,20,221,39,43,12,61,21,18,38,257,66,37
Arizona,10/24/2020,1279,,247,44,52,18,56,17,16,55,247,63,57
Arizona,10/31/2020,1306,,233,40,48,13,64,20,11,56,248,60,71
Arizona,11/7/2020,1390,,242,44,60,13,62,16,12,49,281,56,100
Arizona,11/14/2020,1247,,225,37,61,14,54,13,11,46,245,48,110
Arizona,11/21/2020,1511,12,247,45,65,18,69,16,11,67,293,65,178
Arizona,11/28/2020,1507,,228,44,48,16,51,24,10,79,254,53,272
Arizona,12/5/2020,1602,,218,67,50,18,67,20,,64,260,58,344
Arizona,12/12/2020,1755,,220,56,74,24,79,23,12,92,275,71,408
Arizona,12/19/2020,1811,,229,44,62,28,68,18,20,105,264,64,525
Arizona,12/26/2020,1497,,189,32,66,16,74,22,12,104,243,61,350
Arizona,1/2/2021,1328,,158,42,52,16,55,28,15,111,232,46,268
Arizona,1/9/2021,1176,,147,39,59,10,52,21,14,114,221,33,239
Arkansas,1/4/2020,672,17,114,25,38,18,62,,,,174,34,0
Arkansas,1/11/2020,685,10,144,26,37,21,63,,13,,165,33,0
Arkansas,1/18/2020,658,10,123,24,33,21,44,,15,,167,23,0
Arkansas,1/25/2020,616,,131,19,28,17,55,14,,,161,23,0
Arkansas,2/1/2020,681,11,124,19,43,20,54,11,20,,151,24,0
Arkansas,2/8/2020,673,,136,16,47,21,60,,15,,170,27,0
Arkansas,2/15/2020,688,,121,26,33,20,56,12,11,,179,28,0
Arkansas,2/22/2020,695,14,134,27,53,20,49,10,14,,167,33,0
Arkansas,2/29/2020,656,15,139,33,29,,45,12,22,0,167,32,0
Arkansas,3/7/2020,696,11,134,19,45,24,64,10,14,,147,25,0
Arkansas,3/14/2020,628,13,116,24,28,13,46,,13,,149,41,0
Arkansas,3/21/2020,637,,120,18,29,23,50,13,14,,147,30,0
Arkansas,3/28/2020,640,,123,20,32,19,43,,21,,155,22,
Arkansas,4/4/2020,606,,116,26,28,16,51,,12,0,146,20,11
Arkansas,4/11/2020,636,,113,21,28,19,54,,20,,146,29,12
Arkansas,4/18/2020,637,10,117,11,38,10,38,,16,,163,29,11
Arkansas,4/25/2020,615,,116,16,35,15,42,,16,,129,34,12
Arkansas,5/2/2020,630,,110,24,29,10,48,12,18,,132,35,18
Arkansas,5/9/2020,661,,122,31,33,10,55,,17,,165,41,20
Arkansas,5/16/2020,582,,117,21,29,15,38,,15,,141,26,
Arkansas,5/23/2020,642,,116,23,42,,51,11,10,,148,30,15
Arkansas,5/30/2020,610,,120,31,32,,37,,12,,153,23,14
Arkansas,6/6/2020,648,13,128,24,29,,40,,11,,164,23,19
Arkansas,6/13/2020,651,,116,23,29,11,40,,14,,165,35,33
Arkansas,6/20/2020,707,,108,30,34,,50,,23,,159,44,36
Arkansas,6/27/2020,663,,112,21,26,15,45,,11,,157,29,38
Arkansas,7/4/2020,686,13,134,25,26,,44,17,17,,155,19,36
Arkansas,7/11/2020,660,13,115,39,19,,45,,10,,143,34,42
Arkansas,7/18/2020,694,,120,24,29,12,41,,14,,177,28,52
Arkansas,7/25/2020,713,,125,19,30,10,33,12,,,171,38,66
Arkansas,8/1/2020,746,14,123,25,42,12,46,16,11,,179,31,75
Arkansas,8/8/2020,734,13,122,15,40,15,46,,11,,169,32,80
Arkansas,8/15/2020,764,11,117,27,35,15,42,10,12,11,186,37,74
Arkansas,8/22/2020,749,14,119,35,29,11,36,,,10,182,35,84
Arkansas,8/29/2020,739,10,129,21,28,,45,,12,,156,32,88
Arkansas,9/5/2020,710,,138,24,29,10,40,,,12,150,34,81
Arkansas,9/12/2020,721,,136,25,24,11,44,,17,,168,31,85
Arkansas,9/19/2020,734,14,126,19,41,13,38,14,15,14,173,32,64
Arkansas,9/26/2020,744,,126,31,27,15,42,,23,13,180,24,81
Arkansas,10/3/2020,780,,138,29,37,,44,,,22,178,37,97
Arkansas,10/10/2020,783,,102,29,25,,55,14,16,14,168,35,129
Arkansas,10/17/2020,775,17,108,35,35,14,41,,16,14,152,28,124
Arkansas,10/24/2020,784,,119,27,48,,40,10,11,13,143,26,124
Arkansas,10/31/2020,789,,118,28,27,14,36,,,10,176,34,127
Arkansas,11/7/2020,839,11,144,32,50,10,53,,17,18,155,34,128
Arkansas,11/14/2020,878,,125,32,40,13,44,16,,18,177,49,163
Arkansas,11/21/2020,867,,118,31,39,17,43,16,12,21,160,30,164
Arkansas,11/28/2020,810,,125,24,35,10,36,11,10,10,155,29,199
Arkansas,12/5/2020,908,11,116,26,31,,41,11,11,22,204,31,228
Arkansas,12/12/2020,860,,120,25,42,11,53,,12,22,173,33,184
Arkansas,12/19/2020,798,,103,28,41,11,38,,10,21,162,39,173
Arkansas,12/26/2020,619,13,95,20,25,,50,,,,134,34,92
Arkansas,1/2/2021,544,10,71,19,23,12,41,,,11,125,22,78
Arkansas,1/9/2021,487,12,76,25,21,11,39,,,,103,21,59
California,1/4/2020,5888,34,1199,239,386,187,275,80,97,21,1394,378,0
California,1/11/2020,5873,38,1168,241,380,167,285,86,103,40,1382,358,0
California,1/18/2020,5830,40,1126,207,345,216,313,81,94,30,1395,403,0
California,1/25/2020,5832,38,1192,231,381,189,279,81,90,26,1361,376,0
California,2/1/2020,5685,35,1235,204,336,173,284,81,93,28,1351,345,0
California,2/8/2020,5913,45,1175,227,402,190,325,72,111,23,1386,341,0
California,2/15/2020,5585,34,1176,214,375,189,296,43,101,31,1339,317,0
California,2/22/2020,5798,38,1108,223,376,189,316,73,101,32,1346,345,
California,2/29/2020,5680,32,1178,191,330,178,315,70,91,23,1313,327,0
California,3/7/2020,5737,34,1173,215,351,197,298,70,91,31,1307,352,
California,3/14/2020,5462,30,1132,192,350,172,291,60,85,39,1292,344,
California,3/21/2020,5679,43,1233,214,347,198,284,78,97,33,1243,338,41
California,3/28/2020,5687,30,1178,216,356,183,293,57,78,33,1293,321,127
California,4/4/2020,5983,44,1185,235,360,167,290,60,94,33,1272,394,274
California,4/11/2020,6045,34,1172,232,419,129,294,61,107,32,1311,350,368
California,4/18/2020,6128,29,1131,259,347,127,277,58,94,37,1291,343,520
California,4/25/2020,5938,28,1101,192,367,121,267,51,66,42,1309,326,511
California,5/2/2020,5740,34,1100,210,397,91,268,52,69,37,1189,314,524
California,5/9/2020,5669,34,1102,206,358,85,259,49,59,42,1227,277,523
California,5/16/2020,5691,28,1180,190,313,81,241,50,76,49,1208,328,480
California,5/23/2020,5528,32,1045,197,332,80,221,54,81,44,1226,299,464
California,5/30/2020,5590,22,1120,206,301,98,236,41,66,39,1252,341,443
California,6/6/2020,5516,39,1084,185,318,85,202,47,61,57,1196,323,424
California,6/13/2020,5564,28,1119,186,337,82,214,49,69,57,1148,317,413
California,6/20/2020,5487,28,1027,213,348,81,209,52,69,64,1167,335,418
California,6/27/2020,5695,23,1150,217,312,93,219,44,85,62,1205,326,450
California,7/4/2020,5897,27,1113,230,315,78,235,49,84,75,1211,332,595
California,7/11/2020,6035,24,1150,231,320,105,218,49,68,90,1187,314,694
California,7/18/2020,6224,22,1073,229,356,94,218,42,91,91,1222,333,823
California,7/25/2020,6243,29,1115,204,342,95,232,43,81,96,1206,308,917
California,8/1/2020,6331,31,1149,229,353,92,239,56,86,69,1183,327,946
California,8/8/2020,6302,33,1167,184,336,75,212,39,79,118,1231,345,924
California,8/15/2020,6279,36,1188,210,371,96,239,52,89,108,1152,340,808
California,8/22/2020,6471,36,1145,230,352,78,214,40,78,122,1359,333,760
California,8/29/2020,5864,27,1093,178,345,72,213,43,85,109,1159,342,666
California,9/5/2020,5770,28,1107,205,357,84,208,48,84,106,1127,330,545
California,9/12/2020,5864,20,1186,225,333,94,200,40,65,129,1156,325,479
California,9/19/2020,5742,30,1177,189,334,66,192,46,75,130,1196,325,438
California,9/26/2020,5547,27,1081,187,323,82,216,45,54,134,1121,331,404
California,10/3/2020,5651,22,1123,223,360,83,206,51,85,169,1150,319,307
California,10/10/2020,5542,33,1138,175,355,59,221,47,58,174,1106,340,329
California,10/17/2020,5597,25,1166,188,362,71,192,44,84,175,1167,334,258
California,10/24/2020,5322,36,1122,190,342,59,208,51,73,193,1052,308,265
California,10/31/2020,5496,30,1123,208,319,80,198,44,77,187,1131,321,285
California,11/7/2020,5826,48,1180,209,319,73,245,53,82,233,1149,356,311
California,11/14/2020,5954,36,1155,239,381,77,202,62,85,266,1188,369,389
California,11/21/2020,6280,45,1159,254,373,104,193,59,88,280,1247,366,558
California,11/28/2020,6285,30,1151,219,357,95,237,43,86,333,1222,350,758
California,12/5/2020,6939,34,1140,248,382,113,226,56,91,339,1302,379,1145
California,12/12/2020,7530,37,1155,278,405,92,253,57,102,402,1322,388,1568
California,12/19/2020,7299,35,1096,253,440,97,220,52,75,388,1307,360,1697
California,12/26/2020,6002,22,878,241,418,87,208,56,88,358,1149,315,1105
California,1/2/2021,5027,24,781,193,358,85,174,35,67,364,960,264,911
California,1/9/2021,3931,20,530,132,287,56,152,38,55,235,727,242,759
Colorado,1/4/2020,854,,157,19,33,,53,20,13,10,177,46,0
Colorado,1/11/2020,872,,176,25,41,16,48,,11,,168,47,0
Colorado,1/18/2020,848,10,185,21,30,16,61,13,12,,164,49,0
Colorado,1/25/2020,853,,180,21,39,27,60,21,17,,147,40,0
Colorado,2/1/2020,793,,163,17,44,11,47,,11,,146,51,0
Colorado,2/8/2020,847,,178,26,43,17,59,15,10,,155,35,0
Colorado,2/15/2020,807,11,168,15,47,14,52,18,10,,132,41,0
Colorado,2/22/2020,880,,179,28,39,10,49,10,18,,160,56,0
Colorado,2/29/2020,842,,163,18,39,19,67,10,,,163,41,0
Colorado,3/7/2020,821,,150,21,33,16,57,12,,,155,44,0
Colorado,3/14/2020,822,10,162,19,39,15,54,,14,,150,43,
Colorado,3/21/2020,891,16,170,29,37,22,60,14,12,,155,39,11
Colorado,3/28/2020,860,10,152,13,55,21,58,16,,,170,44,44
Colorado,4/4/2020,967,18,177,26,51,16,52,18,12,,156,42,124
Colorado,4/11/2020,1096,11,167,28,47,14,50,22,,,175,39,201
Colorado,4/18/2020,1106,,172,26,65,,65,11,15,,175,49,197
Colorado,4/25/2020,1067,,171,24,54,11,55,12,11,,157,37,206
Colorado,5/2/2020,998,,147,11,39,10,43,14,,,162,44,173
Colorado,5/9/2020,905,,129,27,33,,36,13,,,154,42,126
Colorado,5/16/2020,886,,158,20,43,,50,14,,,142,48,81
Colorado,5/23/2020,847,12,141,23,29,,36,,,,183,38,80
Colorado,5/30/2020,833,,144,19,34,,47,14,,0,139,45,66
Colorado,6/6/2020,820,,143,22,41,,44,10,,,144,30,48
Colorado,6/13/2020,814,,147,23,32,,49,14,,,151,35,48
Colorado,6/20/2020,861,,156,14,27,,48,18,10,,160,40,30
Colorado,6/27/2020,876,11,162,27,41,,40,12,,,174,44,15
Colorado,7/4/2020,787,,140,19,37,,29,14,,,153,47,22
Colorado,7/11/2020,815,,137,23,47,,42,12,,,151,42,21
Colorado,7/18/2020,808,,167,28,39,,42,11,12,,131,45,30
Colorado,7/25/2020,833,,161,15,47,10,36,,,,150,54,27
Colorado,8/1/2020,812,,159,21,33,,41,,,,154,38,29
Colorado,8/8/2020,841,11,160,20,46,,45,,,12,145,39,34
Colorado,8/15/2020,833,10,143,23,35,,45,10,,,159,38,23
Colorado,8/22/2020,861,10,150,22,40,,50,12,13,11,170,25,15
Colorado,8/29/2020,817,,162,17,34,,40,,,,140,53,24
Colorado,9/5/2020,741,,143,14,31,,35,10,,,127,43,17
Colorado,9/12/2020,848,,167,28,31,,42,,10,,152,45,27
Colorado,9/19/2020,803,10,161,25,46,,35,,,14,139,32,20
Colorado,9/26/2020,836,,163,17,33,,49,13,10,11,161,38,16
Colorado,10/3/2020,779,10,150,18,29,,38,11,,11,140,49,28
Colorado,10/10/2020,798,,145,17,34,,38,12,,13,161,33,34
Colorado,10/17/2020,867,14,163,25,36,,41,13,14,18,161,41,34
Colorado,10/24/2020,868,,147,24,42,,50,14,,15,151,52,56
