jurisdiction,week_end_date,all_cause,septicemia,cancer,diabetes,Alzheimers,influenza_pneumonia,chronic_LRD,other_respiratory,kidney,NEC,heart_disease,CBVD,COVID19_UCOD
Alabama,1/25/2020,1053,16,189,23,54,29,61,11,14,24,285,70,0
Alabama,2/1/2020,1025,15,157,16,58,31,76,17,20,24,265,55,0
Alabama,2/8/2020,1117,26,191,24,45,28,70,20,24,29,301,52,0
Alabama,2/15/2020,1094,17,193,24,50,35,74,23,18,27,254,81,0
Alabama,2/22/2020,1097,17,222,29,47,25,65,12,12,15,285,74,0
Alabama,2/29/2020,1161,21,212,28,62,31,88,20,21,24,294,60,0
Alabama,3/7/2020,1053,18,144,25,65,34,60,24,23,21,265,57,0
Alabama,3/14/2020,1091,16,199,31,65,30,75,28,27,20,265,69,0
Alabama,3/21/2020,1057,17,227,25,46,26,67,24,22,16,262,71,
Alabama,3/28/2020,1072,15,188,23,67,26,75,23,15,23,244,69,20
Alabama,4/4/2020,1153,27,202,34,74,23,67,24,22,25,256,67,45
Alabama,4/11/2020,1133,25,166,31,63,18,62,20,17,27,265,64,77
Alabama,4/18/2020,1141,20,183,35,62,18,69,21,17,18,248,62,83
Alabama,4/25/2020,1137,20,200,28,55,25,53,12,17,14,265,63,77
Alabama,5/2/2020,1147,17,197,22,57,26,67,19,24,11,272,62,75
Alabama,5/9/2020,1168,17,201,28,45,12,58,18,15,22,304,52,105
Alabama,5/16/2020,1146,19,203,28,47,15,70,17,22,23,259,49,88
Alabama,5/23/2020,1150,22,194,22,62,18,53,16,21,26,279,54,76
Alabama,5/30/2020,1105,23,161,28,53,21,51,14,15,25,242,47,99
Alabama,6/6/2020,1166,26,212,20,48,17,62,19,15,17,288,55,85
Alabama,6/13/2020,1134,14,176,23,53,11,65,17,24,20,279,58,75
Alabama,6/20/2020,1085,29,197,22,48,12,61,16,17,31,254,54,81
Alabama,6/27/2020,1148,12,222,23,60,16,55,15,17,23,266,67,93
Alabama,7/4/2020,1196,14,220,30,59,13,60,,18,26,297,49,115
Alabama,7/11/2020,1252,18,216,30,63,12,63,14,19,27,298,72,119
Alabama,7/18/2020,1285,23,203,24,68,22,71,17,18,31,274,66,171
Alabama,7/25/2020,1325,21,211,28,66,15,69,10,20,29,285,77,235
Alabama,8/1/2020,1355,15,198,23,56,25,74,21,20,22,310,70,236
Alabama,8/8/2020,1363,15,177,29,40,20,75,14,17,35,288,69,250
Alabama,8/15/2020,1293,,165,25,60,20,67,21,15,29,289,73,214
Alabama,8/22/2020,1289,16,193,22,56,17,58,13,21,34,285,75,195
Alabama,8/29/2020,1201,18,191,23,55,17,62,18,20,40,244,57,171
Alabama,9/5/2020,1203,22,210,21,61,14,64,11,15,21,254,60,140
Alabama,9/12/2020,1220,17,196,25,66,13,59,18,23,38,288,49,128
Alabama,9/19/2020,1167,17,223,19,57,16,68,23,20,21,245,59,132
Alabama,9/26/2020,1162,21,203,32,64,19,61,13,15,39,257,55,98
Alabama,10/3/2020,1078,14,180,27,47,20,55,11,20,17,253,46,97
Alabama,10/10/2020,1166,14,187,27,58,18,60,20,20,38,292,61,124
Alabama,10/17/2020,1138,18,193,23,57,12,58,19,19,31,246,67,105
Alabama,10/24/2020,1082,17,195,14,55,20,54,14,18,25,257,42,107
Alabama,10/31/2020,1055,21,174,21,58,22,43,21,11,32,250,54,109
Alabama,11/7/2020,1056,12,192,21,50,13,48,15,20,26,241,56,123
Alabama,11/14/2020,961,13,169,16,49,13,51,16,17,27,213,48,122
Alabama,11/21/2020,638,,103,12,51,10,29,,13,20,136,34,63
Alaska,1/5/2019,93,,19,,,0,,,,0,22,,0
Alaska,1/12/2019,87,,14,,,,,,0,,13,,0
Alaska,1/19/2019,94,,16,,,,,,0,,18,,0
Alaska,1/26/2019,88,0,27,,,0,,0,0,0,17,,0
Alaska,2/2/2019,99,,21,,,,,,0,,15,,0
Alaska,2/9/2019,96,,30,,,,,0,,,13,,0
Alaska,2/16/2019,99,0,17,,,,,,,,18,,0
Alaska,2/23/2019,76,,19,,,,,0,,0,12,,0
Alaska,3/2/2019,94,,20,,0,,,,0,,18,,0
Alaska,3/9/2019,94,,25,,,,10,,,0,12,,0
Alaska,3/16/2019,100,,20,,,,,,0,,17,,0
Alaska,3/23/2019,71,,14,,,,,,,,10,,0
Alaska,3/30/2019,90,,24,,,,,,,0,15,,0
Alaska,4/6/2019,90,0,15,,,0,,,,0,14,,0
Alaska,4/13/2019,81,,13,,,0,,0,,,13,,0
Alaska,4/20/2019,78,0,18,,,,,0,,0,13,,0
Alaska,4/27/2019,79,,15,,,,,0,,,,,0
Alaska,5/4/2019,100,,20,,,0,,0,,,14,,0
Alaska,5/11/2019,86,0,26,,,0,,,0,,14,,0
Alaska,5/18/2019,91,0,17,,,0,,0,,0,23,,0
Alaska,5/25/2019,82,,24,,,,,0,,,,,0
Alaska,6/1/2019,77,0,14,,,,,0,0,0,17,,0
Alaska,6/8/2019,93,,18,,,0,,,,,12,,0
Alaska,6/15/2019,75,0,12,,,0,,,,,16,,0
Alaska,6/22/2019,97,,27,,,0,,0,,,16,,0
Alaska,6/29/2019,87,,13,,,0,,0,,,25,,0
Alaska,7/6/2019,81,,15,,,,,0,,,15,,0
Alaska,7/13/2019,91,,13,,,,,,0,0,21,,0
Alaska,7/20/2019,74,,13,,,0,,0,,,16,,0
Alaska,7/27/2019,59,0,19,0,,,0,,0,0,12,,0
Alaska,8/3/2019,74,0,14,,,0,,0,,0,16,,0
Alaska,8/10/2019,86,0,20,0,,0,,,0,,,,0
Alaska,8/17/2019,94,,25,,0,0,,,0,,26,,0
Alaska,8/24/2019,73,,14,,,,,,,0,16,,0
Alaska,8/31/2019,82,0,16,0,,0,,,,,15,,0
Alaska,9/7/2019,71,,15,,,0,,,,0,11,,0
Alaska,9/14/2019,91,0,17,,,,,,,0,20,,0
Alaska,9/21/2019,94,0,21,,,0,,0,,0,23,,0
Alaska,9/28/2019,82,,13,,0,,,0,,,21,,0
Alaska,10/5/2019,93,,20,,,0,,0,,0,18,,0
Alaska,10/12/2019,91,0,20,,,0,,0,0,,16,,0
Alaska,10/19/2019,94,0,14,,,0,,,,,16,,0
Alaska,10/26/2019,67,0,12,,,,,,,0,10,,0
Alaska,11/2/2019,81,,16,,,,,,0,0,12,,0
Alaska,11/9/2019,89,,21,,,0,,0,0,,16,,0
Alaska,11/16/2019,90,,16,,,0,,,0,,22,,0
Alaska,11/23/2019,92,,28,,,0,,0,,0,13,,0
Alaska,11/30/2019,103,,27,,,,,,,,19,,0
Alaska,12/7/2019,93,,23,,,0,,,,0,16,,0
Alaska,12/14/2019,94,,16,,,0,,,,,17,,0
Alaska,12/21/2019,84,0,20,,,0,,,,,21,,0
Alaska,12/28/2019,100,,23,,,,,,,0,25,,0
Alaska,1/4/2020,89,,16,,,0,,0,,0,17,,0
Alaska,1/11/2020,105,,22,,,0,,,,0,24,,0
Alaska,1/18/2020,99,,21,,,0,,,,0,15,,0
Alaska,1/25/2020,97,,21,,,0,,0,,,18,,0
Alaska,2/1/2020,85,,17,,,,,,0,,20,,0
Alaska,2/8/2020,92,0,15,,,,,,,,22,,0
Alaska,2/15/2020,89,,20,,,0,,,,0,19,,0
Alaska,2/22/2020,83,,16,,,,,,0,,,,0
Alaska,2/29/2020,84,,18,,0,,,,,,14,,0
Alaska,3/7/2020,79,,20,0,,,,,,0,15,,0
Alaska,3/14/2020,92,,20,,0,,,,0,,22,,0
Alaska,3/21/2020,69,0,,,,,,,,,10,,0
Alaska,3/28/2020,85,,16,,,,,,,0,15,,
Alaska,4/4/2020,98,,21,,,,,,0,0,14,,
Alaska,4/11/2020,83,,15,,,,,,,,19,,
Alaska,4/18/2020,80,0,17,,,,,0,,0,13,,
Alaska,4/25/2020,61,,12,0,,,,,,0,12,0,0
Alaska,5/2/2020,87,,17,,,,,,0,,18,,0
Alaska,5/9/2020,89,,20,,,,,,0,0,13,,0
Alaska,5/16/2020,83,0,18,,0,,,0,,,20,,0
Alaska,5/23/2020,82,0,19,,,0,,0,0,0,17,,0
Alaska,5/30/2020,97,,23,,,0,,0,,,18,,0
Alaska,6/6/2020,78,0,15,,,,,,0,,19,,0
Alaska,6/13/2020,88,,19,,,,,,0,0,16,,
Alaska,6/20/2020,92,0,28,0,,,,0,,,15,,0
Alaska,6/27/2020,88,0,16,,,,,,0,,14,,0
Alaska,7/4/2020,84,,16,,,0,,0,,,17,,
Alaska,7/11/2020,100,,20,,,0,,0,,,18,,
Alaska,7/18/2020,88,0,20,,,0,,0,,,12,,
Alaska,7/25/2020,92,0,20,,,,,0,,,18,,
Alaska,8/1/2020,112,0,17,,,0,,,,,17,,
Alaska,8/8/2020,100,,15,,,0,,0,,,20,,
Alaska,8/15/2020,74,0,15,,,0,,0,,,17,,
Alaska,8/22/2020,112,,24,,,,,0,0,,28,,
Alaska,8/29/2020,91,,23,,,0,,0,0,,11,,
Alaska,9/5/2020,101,0,20,,,,,,0,0,17,,
Alaska,9/12/2020,83,0,22,,,0,,0,,,11,,
Alaska,9/19/2020,100,,16,,,0,,,,,10,11,
Alaska,9/26/2020,107,,18,,,0,,,,,18,,
Alaska,10/3/2020,65,0,,,,0,,,0,,16,,
Alaska,10/10/2020,96,,18,,,,,,,,21,,
Alaska,10/17/2020,85,,23,,,0,,,,0,13,,
Alaska,10/24/2020,88,0,17,,,0,,0,,,23,,
Alaska,10/31/2020,77,0,25,,,,,0,,,,,
Alaska,11/7/2020,61,0,12,,,0,,0,,0,13,,
Alaska,11/14/2020,50,0,13,,0,,,0,0,,,,
Alaska,11/21/2020,32,0,12,,,0,0,0,0,0,,,
Arizona,1/5/2019,1351,12,260,44,61,34,86,23,27,20,314,59,0
Arizona,1/12/2019,1350,10,263,49,52,28,101,25,17,22,310,59,0
Arizona,1/19/2019,1270,10,256,46,78,27,84,24,15,28,256,70,0
Arizona,1/26/2019,1253,,265,36,67,33,80,19,14,18,262,53,0
Arizona,2/2/2019,1217,,258,57,47,25,93,17,15,14,239,74,0
Arizona,2/9/2019,1204,10,244,36,68,27,87,20,13,15,243,55,0
Arizona,2/16/2019,1188,,234,48,62,26,81,17,14,21,246,74,0
Arizona,2/23/2019,1313,,274,52,66,33,86,17,19,23,256,60,0
Arizona,3/2/2019,1250,,238,54,44,25,99,19,14,16,277,58,0
Arizona,3/9/2019,1252,,254,43,50,35,75,27,24,17,274,64,0
Arizona,3/16/2019,1279,,280,39,65,30,80,22,21,15,288,64,0
Arizona,3/23/2019,1192,,229,39,63,27,81,16,15,16,233,63,0
Arizona,3/30/2019,1240,,236,46,71,37,80,16,,18,265,63,0
Arizona,4/6/2019,1254,,252,47,66,32,94,15,17,19,238,69,0
Arizona,4/13/2019,1325,,286,51,61,21,86,16,12,13,278,82,0
Arizona,4/20/2019,1167,,231,45,52,19,87,25,14,15,273,46,0
Arizona,4/27/2019,1176,,241,45,70,18,77,23,15,19,255,56,0
Arizona,5/4/2019,1160,,237,61,53,16,62,16,21,24,246,54,0
Arizona,5/11/2019,1191,12,244,57,53,17,81,17,10,26,263,42,0
Arizona,5/18/2019,1139,,231,39,71,,70,15,17,22,239,44,0
Arizona,5/25/2019,1122,,242,48,53,11,70,22,11,22,220,44,0
Arizona,6/1/2019,1168,,251,39,59,18,76,22,15,12,235,58,0
Arizona,6/8/2019,1074,,217,37,53,16,66,13,13,12,215,44,0
Arizona,6/15/2019,1149,,254,40,58,10,53,14,17,20,239,50,0
Arizona,6/22/2019,1060,,199,32,52,22,68,11,19,14,239,63,0
Arizona,6/29/2019,1122,11,249,30,53,11,66,16,,28,213,54,0
Arizona,7/6/2019,1120,,248,39,46,11,62,15,10,20,214,39,0
Arizona,7/13/2019,1165,10,239,39,59,11,58,17,27,18,240,51,0
Arizona,7/20/2019,1144,,223,46,49,,61,,11,16,255,52,0
Arizona,7/27/2019,1068,,201,51,57,10,47,19,14,22,238,47,0
Arizona,8/3/2019,1085,,226,36,51,14,65,18,,20,216,43,0
Arizona,8/10/2019,1085,,232,34,61,,59,18,11,23,231,39,0
Arizona,8/17/2019,1071,,248,34,41,13,64,17,16,24,232,49,0
Arizona,8/24/2019,1063,,243,34,52,10,66,15,18,13,204,48,0
Arizona,8/31/2019,1151,,256,43,63,11,52,20,14,20,246,46,0
Arizona,9/7/2019,1176,,234,43,67,10,73,14,,22,258,45,0
Arizona,9/14/2019,1038,,234,36,49,12,60,19,15,13,200,50,0
Arizona,9/21/2019,1079,,236,39,57,11,51,17,13,17,225,55,0
Arizona,9/28/2019,1159,,236,45,54,11,67,23,16,26,247,49,0
Arizona,10/5/2019,1102,,248,36,62,12,57,15,17,24,189,47,0
Arizona,10/12/2019,1117,,257,46,67,13,48,13,13,14,225,55,0
Arizona,10/19/2019,1139,,245,35,72,20,67,21,17,18,221,48,0
Arizona,10/26/2019,1013,,194,25,55,14,56,11,12,11,232,57,0
Arizona,11/2/2019,1121,,251,38,73,12,49,20,12,12,216,69,0
Arizona,11/9/2019,1254,10,271,36,75,15,65,14,17,25,268,58,0
Arizona,11/16/2019,1197,10,242,32,56,22,58,15,19,20,240,60,0
Arizona,11/23/2019,1220,,243,41,55,17,75,13,16,18,267,51,0
Arizona,11/30/2019,1119,12,203,44,50,15,72,19,15,19,236,57,0
Arizona,12/7/2019,1222,11,263,52,59,20,69,19,15,20,260,48,0
Arizona,12/14/2019,1193,,240,33,60,26,71,10,18,15,253,52,0
Arizona,12/21/2019,1165,,241,37,64,24,62,13,12,16,260,64,0
Arizona,12/28/2019,1219,,263,46,60,20,78,16,12,18,259,59,0
Arizona,1/4/2020,1299,,247,46,66,30,90,17,11,18,314,55,0
Arizona,1/11/2020,1390,,276,58,67,26,86,19,19,24,298,64,0
Arizona,1/18/2020,1315,,264,46,65,32,74,30,20,16,275,66,0
Arizona,1/25/2020,1275,10,241,54,58,36,76,25,20,25,281,58,0
Arizona,2/1/2020,1265,,265,48,55,34,75,19,17,20,287,64,0
Arizona,2/8/2020,1263,,239,52,66,31,78,17,12,24,279,63,0
Arizona,2/15/2020,1311,,247,53,66,32,88,18,10,21,297,71,0
Arizona,2/22/2020,1341,,261,36,59,31,83,16,17,23,289,65,0
Arizona,2/29/2020,1352,,256,53,64,33,84,27,14,27,272,71,0
Arizona,3/7/2020,1380,12,256,44,67,29,78,30,16,30,310,73,0
Arizona,3/14/2020,1349,,255,46,63,32,102,27,17,29,295,71,0
Arizona,3/21/2020,1290,,262,44,63,37,79,30,13,25,256,64,
Arizona,3/28/2020,1323,,263,52,66,37,81,20,20,20,276,61,29
Arizona,4/4/2020,1356,,258,39,66,25,78,26,15,27,255,55,55
Arizona,4/11/2020,1403,12,243,56,57,26,84,28,17,21,254,69,88
Arizona,4/18/2020,1316,10,255,38,69,22,74,13,21,16,246,48,87
Arizona,4/25/2020,1384,,266,39,76,18,64,25,14,23,282,63,99
Arizona,5/2/2020,1398,,240,57,56,24,74,13,17,22,317,73,94
Arizona,5/9/2020,1427,10,252,47,60,16,77,21,11,40,281,60,122
Arizona,5/16/2020,1306,,233,40,65,17,65,23,21,25,225,52,110
Arizona,5/23/2020,1289,10,238,53,79,15,58,22,12,15,233,67,88
Arizona,5/30/2020,1310,,244,46,44,17,74,22,19,25,247,61,99
Arizona,6/6/2020,1398,,253,39,63,16,62,14,12,19,265,60,127
Arizona,6/13/2020,1463,10,246,47,67,13,72,26,12,31,279,55,153
Arizona,6/20/2020,1547,14,262,56,70,12,82,30,13,32,257,64,193
Arizona,6/27/2020,1615,12,260,46,70,16,68,28,24,46,282,60,236
Arizona,7/4/2020,1773,,247,56,77,23,70,27,13,45,286,66,354
Arizona,7/11/2020,1952,12,251,66,76,35,81,39,12,64,306,62,475
Arizona,7/18/2020,1993,,236,47,78,29,69,28,17,48,314,58,507
Arizona,7/25/2020,1858,,263,52,85,16,60,21,11,47,289,58,445
Arizona,8/1/2020,1790,13,246,56,63,31,74,21,13,33,278,65,359
Arizona,8/8/2020,1584,,238,44,51,17,65,14,20,31,266,62,279
Arizona,8/15/2020,1525,,241,56,61,20,55,21,11,40,239,55,232
Arizona,8/22/2020,1501,,259,49,62,14,74,19,,28,272,59,154
Arizona,8/29/2020,1459,,267,69,64,12,60,21,14,50,259,72,112
Arizona,9/5/2020,1286,,227,43,54,12,52,20,20,46,268,40,78
Arizona,9/12/2020,1276,10,242,42,44,13,54,26,15,53,253,58,56
Arizona,9/19/2020,1253,,237,42,54,14,56,,13,56,259,61,55
Arizona,9/26/2020,1280,11,239,50,60,11,64,16,10,50,233,63,44
Arizona,10/3/2020,1194,,213,27,48,17,59,10,15,64,258,56,29
Arizona,10/10/2020,1235,,229,45,60,,57,23,18,50,214,56,45
Arizona,10/17/2020,1223,20,221,39,43,12,57,20,18,61,251,65,36
Arizona,10/24/2020,1271,,244,44,52,18,56,17,15,81,239,63,57
Arizona,10/31/2020,1292,,231,40,48,13,64,20,11,89,238,59,70
Arizona,11/7/2020,1345,,234,41,59,13,61,15,11,103,254,55,97
Arizona,11/14/2020,1132,,206,31,59,11,52,11,11,61,219,46,97
Arizona,11/21/2020,1023,,190,29,45,10,48,10,,73,198,49,110
Arkansas,1/5/2019,692,14,115,24,29,18,46,13,10,,193,27,0
Arkansas,1/12/2019,601,,111,24,34,16,54,,11,0,171,31,0
Arkansas,1/19/2019,661,,123,21,33,14,58,15,15,,156,37,0
Arkansas,1/26/2019,650,10,111,31,25,18,50,,12,,173,28,0
Arkansas,2/2/2019,671,,128,19,30,12,45,,20,,201,31,0
Arkansas,2/9/2019,665,13,129,21,29,17,57,,,,174,27,0
Arkansas,2/16/2019,695,,134,29,29,19,63,,,,194,35,0
Arkansas,2/23/2019,723,11,146,27,26,23,60,13,16,,201,21,0
Arkansas,3/2/2019,643,,128,26,34,20,52,,14,,158,30,0
Arkansas,3/9/2019,686,,128,31,31,22,50,,12,,191,26,0
Arkansas,3/16/2019,703,10,132,27,38,29,64,12,15,,179,30,0
Arkansas,3/23/2019,671,,132,28,31,24,48,,15,,179,39,0
Arkansas,3/30/2019,660,10,111,24,29,,55,16,13,,181,32,0
Arkansas,4/6/2019,645,,116,24,34,,44,,13,0,185,30,0
Arkansas,4/13/2019,645,10,115,26,32,,48,12,,,192,19,0
Arkansas,4/20/2019,616,10,113,26,27,12,39,10,12,,165,23,0
Arkansas,4/27/2019,586,,115,19,27,17,34,10,,,177,36,0
Arkansas,5/4/2019,588,10,135,27,14,11,46,,13,,161,21,0
Arkansas,5/11/2019,567,,124,16,20,,39,,11,,161,24,0
Arkansas,5/18/2019,607,,123,18,31,,39,13,12,,158,30,0
Arkansas,5/25/2019,630,,130,19,25,12,42,,,,174,22,0
Arkansas,6/1/2019,565,,106,23,23,,43,10,12,,156,28,0
Arkansas,6/8/2019,573,,111,22,24,,40,13,13,,150,25,0
Arkansas,6/15/2019,635,10,136,25,40,,42,15,,,158,23,0
Arkansas,6/22/2019,554,,105,27,22,,36,,,,156,23,0
Arkansas,6/29/2019,564,,117,21,27,10,37,10,11,,152,25,0
Arkansas,7/6/2019,582,11,131,15,24,,39,,11,,159,23,0
Arkansas,7/13/2019,580,,108,22,26,,53,,16,,151,25,0
Arkansas,7/20/2019,580,13,117,26,26,10,41,,14,,145,26,0
Arkansas,7/27/2019,539,11,95,20,24,13,51,,,,138,21,0
Arkansas,8/3/2019,557,13,115,17,31,10,36,,,,158,26,0
Arkansas,8/10/2019,592,10,111,17,22,,44,10,,,160,25,0
Arkansas,8/17/2019,574,,126,22,26,10,38,,10,,144,27,0
Arkansas,8/24/2019,587,,136,22,15,,58,,11,,142,32,0
Arkansas,8/31/2019,557,10,131,13,27,,30,,,,143,22,0
Arkansas,9/7/2019,528,,96,19,21,,31,,,,151,23,0
Arkansas,9/14/2019,638,10,152,13,32,10,40,,10,,171,30,0
Arkansas,9/21/2019,601,11,117,23,36,11,38,,18,,136,29,0
Arkansas,9/28/2019,598,,119,24,24,,45,,12,,139,31,0
Arkansas,10/5/2019,564,12,116,19,25,,25,,19,,160,28,0
Arkansas,10/12/2019,590,10,129,20,32,,44,,11,,152,37,0
Arkansas,10/19/2019,610,,132,27,26,,44,,10,,157,26,0
Arkansas,10/26/2019,618,11,131,20,37,15,38,12,15,,143,33,0
Arkansas,11/2/2019,595,,126,21,23,11,47,,14,,165,32,0
Arkansas,11/9/2019,632,12,120,21,37,12,34,,18,,165,25,0
Arkansas,11/16/2019,671,17,148,21,38,14,38,11,23,,167,32,0
Arkansas,11/23/2019,643,,119,19,37,14,39,,14,,158,36,0
Arkansas,11/30/2019,664,,132,36,33,13,43,,13,,148,41,0
Arkansas,12/7/2019,617,,101,22,32,13,47,12,12,,157,33,0
Arkansas,12/14/2019,660,11,130,24,37,,48,,12,,182,33,0
Arkansas,12/21/2019,613,,116,15,22,10,57,,10,,152,28,0
Arkansas,12/28/2019,706,11,119,24,36,11,60,12,,,194,28,0
Arkansas,1/4/2020,672,17,114,25,38,18,62,,,,174,34,0
Arkansas,1/11/2020,685,10,144,26,37,21,63,,13,,165,33,0
Arkansas,1/18/2020,658,10,123,24,33,21,44,,15,,167,23,0
Arkansas,1/25/2020,616,,131,19,28,17,55,14,,,161,23,0
Arkansas,2/1/2020,681,11,124,19,43,20,54,11,20,,151,24,0
Arkansas,2/8/2020,673,,136,16,47,21,60,,15,,170,27,0
Arkansas,2/15/2020,688,,121,26,33,20,56,12,11,,179,28,0
Arkansas,2/22/2020,695,14,134,27,53,20,49,10,14,,167,33,0
Arkansas,2/29/2020,656,15,139,33,29,,45,12,22,0,167,32,0
Arkansas,3/7/2020,696,11,134,19,45,24,64,10,14,,147,25,0
Arkansas,3/14/2020,628,13,116,24,28,13,46,,13,,149,41,0
Arkansas,3/21/2020,637,,120,18,29,23,50,13,14,,147,30,0
Arkansas,3/28/2020,640,,123,20,32,19,43,,21,,155,22,
Arkansas,4/4/2020,606,,116,26,28,16,51,,12,0,146,20,11
Arkansas,4/11/2020,635,,113,21,28,19,54,,20,,145,29,12
Arkansas,4/18/2020,637,10,117,11,38,10,38,,16,,162,29,11
Arkansas,4/25/2020,614,,116,16,35,15,42,,16,,128,34,12
Arkansas,5/2/2020,630,,110,24,29,10,48,12,18,,132,35,18
Arkansas,5/9/2020,661,,122,31,33,10,55,,17,,165,41,20
Arkansas,5/16/2020,582,,117,21,29,15,38,,15,,141,26,
Arkansas,5/23/2020,642,,116,23,42,,51,11,10,,148,30,15
Arkansas,5/30/2020,610,,120,31,32,,37,,12,,153,23,14
Arkansas,6/6/2020,647,13,128,24,29,,40,,11,,164,23,19
Arkansas,6/13/2020,651,,116,23,29,11,40,,14,,165,35,33
Arkansas,6/20/2020,705,,108,29,34,,50,,23,,159,44,36
Arkansas,6/27/2020,663,,112,21,26,15,45,,11,,157,29,38
Arkansas,7/4/2020,685,13,134,25,26,,44,17,17,,155,19,35
Arkansas,7/11/2020,660,13,115,39,19,,45,,10,,143,34,42
Arkansas,7/18/2020,694,,120,24,29,12,41,,14,,176,28,52
Arkansas,7/25/2020,713,,125,19,30,10,33,12,,,170,38,66
Arkansas,8/1/2020,743,14,123,25,42,12,46,16,11,,179,31,75
Arkansas,8/8/2020,733,13,122,15,40,15,46,,11,,167,32,80
Arkansas,8/15/2020,764,11,117,27,35,15,42,10,12,11,186,37,74
Arkansas,8/22/2020,747,14,119,35,29,11,36,,,15,180,35,84
